Name,Epic,Status,Start date,Due date,Priority,Completion,Blocked By,Is Blocking,Project,Assigned,Notes
Setup repo + Makefile,Setup,To do,2025-07-11,2025-07-11,High,0,,Create project structure,Minishell,Jules,
Create project structure,Setup,To do,2025-07-12,2025-07-12,High,0,Setup repo + Makefile,Headers and basic structs,Minishell,Anpayot,
Headers and basic structs,Setup,To do,2025-07-13,2025-07-13,High,0,Create project structure,Init shell function,Minishell,Jules,
Init shell function,Core,To do,2025-07-14,2025-07-14,High,0,Headers and basic structs,Basic tokenizer,Minishell,Anpayot,
Basic tokenizer,Core,To do,2025-07-15,2025-07-15,High,0,Init shell function,Simple command execution,Minishell,Jules,
Simple command execution,Core,To do,2025-07-16,2025-07-16,High,0,Basic tokenizer,Quote handling,Minishell,Anpayot,
Quote handling,Parsing,To do,2025-07-21,2025-07-21,High,0,Simple command execution,Variable expansion,Minishell,Jules,
Variable expansion,Parsing,To do,2025-07-22,2025-07-22,High,0,Quote handling,Basic parser AST,Minishell,Anpayot,
Basic parser AST,Parsing,To do,2025-07-23,2025-07-23,High,0,Variable expansion,Pipeline execution,Minishell,Jules,
Pipeline execution,Parsing,To do,2025-07-24,2025-07-24,High,0,Basic parser AST,Builtin echo pwd env,Minishell,Anpayot,
Builtin echo pwd env,Builtins,To do,2025-07-28,2025-07-28,High,0,Pipeline execution,Builtin cd export unset,Minishell,Jules,
Builtin cd export unset,Builtins,To do,2025-07-30,2025-07-30,High,0,Builtin echo pwd env,Builtin exit,Minishell,Anpayot,
Builtin exit,Builtins,To do,2025-07-31,2025-07-31,High,0,Builtin cd export unset,Input output redirections,Minishell,Jules,
Input output redirections,Redirections,To do,2025-08-04,2025-08-04,High,0,Builtin exit,Append redirection,Minishell,Anpayot,
Append redirection,Redirections,To do,2025-08-05,2025-08-05,High,0,Input output redirections,Heredoc implementation,Minishell,Jules,
Heredoc implementation,Redirections,To do,2025-08-06,2025-08-06,High,0,Append redirection,Signal handling complete,Minishell,Anpayot,
Signal handling complete,Signals,To do,2025-08-11,2025-08-11,High,0,Heredoc implementation,Integration testing,Minishell,Jules,
Integration testing,Testing,To do,2025-08-12,2025-08-12,High,0,Signal handling complete,Memory audit valgrind,Minishell,Anpayot,
Memory audit valgrind,Testing,To do,2025-08-13,2025-08-13,High,0,Integration testing,Norminette compliance,Minishell,Jules,
Norminette compliance,Testing,To do,2025-08-14,2025-08-14,High,0,Memory audit valgrind,Logical operators bonus,Minishell,Anpayot,
Logical operators bonus,Bonus,To do,2025-08-18,2025-08-18,Medium,0,Norminette compliance,Wildcard expansion bonus,Minishell,Jules,
Wildcard expansion bonus,Bonus,To do,2025-08-19,2025-08-19,Low,0,Logical operators bonus,Final documentation,Minishell,Anpayot,
Final documentation,Bonus,To do,2025-08-21,2025-08-21,Medium,0,Wildcard expansion bonus,,Minishell,Team,
